run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_bn-m4-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1046,4,20,0.001,1000,1,10,28,24,nan,"[64, 32, 16, 32, 256, 128, 32, 16, 64, 64, 512, 128, 16, 32, 256, 256, 128, 512, 64, 16, 512, 128, 16, 256]",2.4464393446710155,0.11230299600418446,97.9,949.5319747924805,149.33066135068842,0.9967489440506226,23970.74534845352
plain_cnn_bn-m4-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1046,4,20,0.001,1000,1,10,28,24,nan,"[64, 32, 16, 32, 256, 128, 32, 16, 64, 64, 512, 128, 16, 32, 256, 256, 128, 512, 64, 16, 512, 128, 16, 256]",2.170950594454669,0.12402462657131587,0.24,1706.9550785064698,388.8123296666753,0.15391793157239356,27502.34122943878
plain_cnn_bn-m5-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1047,5,20,0.001,1000,1,10,28,8,nan,"[64, 128, 256, 16, 256, 128, 64, 128]",1.0844240171251085,0.11328337134788748,99.31,1038.1841026306151,60.62312325690428,0.6396105071959136,27926.134700775146
plain_cnn_bn-m5-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1047,5,20,0.001,1000,1,10,28,8,nan,"[64, 128, 256, 16, 256, 128, 64, 128]",2.1989964488398424,0.1191398992757227,90.85,995.0369773864746,36.68742416018046,0.6243962516331499,26569.804859161377
plain_cnn_bn-m5-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1047,5,20,0.001,1000,1,10,28,8,nan,"[64, 128, 256, 16, 256, 128, 64, 128]",2.5267913087538796,0.12402462657131587,0.04,957.3416885375976,61.25766366917102,0.9376843968396741,27048.823890686035
plain_cnn_bn-m6-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1048,6,20,0.001,1000,1,10,28,16,nan,"[32, 64, 16, 32, 16, 512, 32, 16, 16, 128, 512, 256, 512, 16, 256, 128]",2.5219280948873624,0.12695146141665667,99.35,909.986361694336,37.76914536692889,0.5931765690302869,23677.798495292664
plain_cnn_bn-m6-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1048,6,20,0.001,1000,1,10,28,16,nan,"[32, 64, 16, 32, 16, 512, 32, 16, 16, 128, 512, 256, 512, 16, 256, 128]",2.4464393446710155,0.1152326890866789,98.63,929.6651603698731,13.216873142871501,0.5633014630952493,24810.621626853943
plain_cnn_bn-m6-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1048,6,20,0.001,1000,1,10,28,16,nan,"[32, 64, 16, 32, 16, 512, 32, 16, 16, 128, 512, 256, 512, 16, 256, 128]",2.446439344671016,0.1191398992757227,0.14,1073.2690922737122,55.748640289815086,0.618984572778684,27542.75127887726
plain_cnn_bn-m7-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1049,7,20,0.001,1000,1,10,28,48,nan,"[32, 256, 16, 16, 32, 64, 64, 32, 256, 512, 512, 16, 256, 256, 64, 32, 32, 64, 512, 256, 128, 16, 32, 64, 128, 128, 512, 128, 128, 32, 512, 256, 256, 64, 16, 256, 64, 32, 128, 64, 64, 64, 256, 32, 64, 128, 64, 64]",2.9219280948873627,0.12500214367786525,16.81,6578.703977584839,892.1567090882455,0.4200854191404268,103616.19262266159
plain_cnn_bn-m7-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1049,7,20,0.001,1000,1,10,28,48,nan,"[32, 256, 16, 16, 32, 64, 64, 32, 256, 512, 512, 16, 256, 256, 64, 32, 32, 64, 512, 256, 128, 16, 32, 64, 128, 128, 512, 128, 128, 32, 512, 256, 256, 64, 16, 256, 64, 32, 128, 64, 64, 64, 256, 32, 64, 128, 64, 64]",2.7219280948873625,0.1230471094647665,9.69,2603.165245723724,776.2831783378806,15.084588497303391,73811.68266195059
plain_cnn_bn-m7-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1049,7,20,0.001,1000,1,10,28,48,nan,"[32, 256, 16, 16, 32, 64, 64, 32, 256, 512, 512, 16, 256, 256, 64, 32, 32, 64, 512, 256, 128, 16, 32, 64, 128, 128, 512, 128, 128, 32, 512, 256, 256, 64, 16, 256, 64, 32, 128, 64, 64, 64, 256, 32, 64, 128, 64, 64]",2.4464393446710155,0.11132833713478875,11.33,4731.204704475403,1324.0598422224764,0.8003171674943907,78650.86054849625
plain_cnn_bn-m8-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1050,8,20,0.001,1000,1,10,28,16,nan,"[64, 32, 128, 256, 512, 128, 64, 32, 128, 32, 64, 256, 128, 64, 128, 128]",2.170950594454669,0.11132833713478875,99.45,771.3604455947876,40.56790728792758,0.3861301325971569,19033.20555973053
plain_cnn_bn-m8-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1050,8,20,0.001,1000,1,10,28,16,nan,"[64, 32, 128, 256, 512, 128, 64, 32, 128, 32, 64, 256, 128, 64, 128, 128]",2.321928094887362,0.12206959235821714,98.37,720.0447751998902,16.514141777932846,0.5720337611071747,18813.374831199646
